hashname,model,20250407_PC_NODE_grid_final_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers,state_r2,rate_r2,co-bps,cycle_con
685fd0ab,gnode,32,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9014307856559752,0.996687114238739,0.2736950218677521,0.8563026189804077
da23dded,gnode,64,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.724591851234436,0.9945882558822632,0.2734172344207763,0.8312154412269592
da23dded,gnode,64,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.724591851234436,0.9945882558822632,0.2734172344207763,0.8312154412269592
0346e5e1,fr,256,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6674314141273499,0.590938925743103,0.1507807374000549,0.9992705583572388
6b3531ea,fr,32,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7525493502616882,0.4209744930267334,0.1016754880547523,0.9980400800704956
d77eca26,fr,128,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6688188910484314,0.5308244228363037,0.1307615637779235,0.9985702633857728
cb262021,fr,32,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7518059611320496,0.4209400117397308,0.1016891673207283,0.998049020767212
5d21cdb9,fr,512,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.9179543852806092,0.8313489556312561,0.2239361405372619,0.9853476285934448
226a1496,fr,64,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.6935294270515442,0.4609693884849548,0.1132733523845672,0.9958010911941528
6b3531ea,fr,32,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7525493502616882,0.4209744930267334,0.1016754880547523,0.9980400800704956
