Model_Type,Model_Label,Hash_Value,DMD:0,DMD:1,Architecture,Latent_Size,Is_True_Model,DMD:0_3D,DMD:1_3D,DMD:2_3D
gru,gru_2_4abacb9e,4abacb9e,0.45427041658831974,-0.3629072450341833,gru,2,False,0.571916474260757,0.3489482100409596,-0.09584797072947243
gru,gru_2_1d4cc959,1d4cc959,0.1727104028740481,0.05660973280603979,gru,2,False,0.4445056775803837,-0.2587668234869421,-0.4370080808125008
gru,gru_2_141ebfef,141ebfef,-0.1234439444086824,0.4529140017875417,gru,2,False,-0.36806333463015906,-0.5562106533474973,-0.0372218199425358
gru,gru_2_6cd9fb81,6cd9fb81,-0.4847988966012701,-0.3157572763640448,gru,2,False,0.24235505077493616,-0.2120971829515162,0.5987465388886939
gru,gru_2_667d6c05,667d6c05,-0.11647246852064072,0.12631972492507104,gru,2,False,-0.21793338504148646,0.5738610064227196,-0.2604430018860989
gru,gru_2_4a30d451,4a30d451,-0.2175981831205543,-0.14949302532958353,gru,2,False,0.610081089611032,0.04540007792268818,0.2722108477726717
gru,gru_2_e60b5326,e60b5326,0.28795746744553,-0.19690375918171732,gru,2,False,-0.5947948931793605,0.10842214806465168,-0.29680921019801826
gru,gru_2_f561fd9e,f561fd9e,-0.4981185768401501,-0.287678212736057,gru,2,False,0.624349327807204,0.18724248201658694,-0.14659883642308713
gru,gru_2_1221f4a0,1221f4a0,-0.2330011929045702,-0.5528335082792855,gru,2,False,0.0679555655500907,-0.38290255773191395,-0.5528889989379037
gru,gru_2_bb6d13e5,bb6d13e5,-0.37631081740290695,0.4163318688664683,gru,2,False,-0.435322203704694,-0.451334511459231,-0.24081123707911195
gru,gru_2_1bf19918,1bf19918,-0.28848091080431215,0.2993181120679047,gru,2,False,-0.3044958357582754,0.07603577966677373,-0.6061193675579528
gru,gru_2_3aaf083a,3aaf083a,0.15640957528683927,-0.37546261336111814,gru,2,False,-0.5494299463843726,-0.3411692055896207,-0.09250662359469558
gru,gru_2_667d6c05,667d6c05,0.12806857487465806,-0.4721052380990864,gru,2,False,0.5624609043419284,-0.14161650053021643,-0.32175055800400637
gru,gru_2_4a30d451,4a30d451,0.5013998638124451,0.4137890216074832,gru,2,False,0.16475949463933787,-0.6296377254888877,0.15997382051833212
gru,gru_2_e60b5326,e60b5326,-0.058047288325171996,-0.5488486293102713,gru,2,False,0.18070267808585358,-0.5020451580583668,0.40705969429849626
gru,gru_2_f561fd9e,f561fd9e,-0.20827522079287397,0.29904484931869973,gru,2,False,0.0731732817601939,-0.49885447083694673,0.4428886193013909
gru,gru_2_1221f4a0,1221f4a0,-0.48568249178186956,0.2070531050444826,gru,2,False,-0.1319528210409135,-0.398500310933296,0.52288858532778
gru,gru_2_bb6d13e5,bb6d13e5,-0.012734739803217553,0.5369597864183786,gru,2,False,0.35003897534485984,0.21025430890606273,-0.5330928197244906
gru,gru_2_1bf19918,1bf19918,0.4781600241470004,0.492028589048045,gru,2,False,-0.3224345859630095,-0.3347559378006022,-0.4880370282913902
gru,gru_2_3aaf083a,3aaf083a,0.10142717760435953,-0.3392952681677441,gru,2,False,-0.6659950159739215,-0.002623187569050869,0.05338994792386967
